Tasks,Assigned To,Caption,Content Type,Date of Completion,Link,Order,PS,Posted,Tasks 1,Topic
reel10,,"Sexual performance issues don’t just affect you — they affect your relationship too.

At Restart Medical, we see it all the time.
Men avoid intimacy. Partners feel rejected. Distance grows — all because of a treatable medical issue.

Whether it’s ED, PE, or size concerns, you don’t have to live with it.

Our treatments are designed to restore more than performance — they rebuild confidence, connection, and closeness.

Some clients have even told us it saved their marriage.

And that’s what truly matters.

If performance issues are creating distance in your relationship, let’s fix it together.
👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1XWp9-PuPZ-O4wrchnLiplBUQDdZrcAlv/view?usp=drive_link,10,Not started,Edited,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 10: The Relationship Saver — how performance issues affect relationships
reel27,,,Reel,,https://drive.google.com/drive/folders/12zUN8lJHVx9bYBF6h9GPnBglK0MBz7RI?usp=sharing,27,Not started,Sent for editing,,"Script 27: The Science Backed Approach — evidence-based treatments like LaserMe, P-Shot, Hydro Deluxe"
reel21,,,Reel,,https://drive.google.com/drive/folders/18HnMq7Tvtr2AwachDdfD2H-MAsnpJFdd?usp=sharing,21,Not started,Sent for editing,,Script 21: The Confidence Clinic — confidence through enhancement and skin treatments
reel14,,"Large pores making your skin look rough and aged?
At Restart Medical, we help refine skin texture with treatments that actually work.
Using PHA Touch combined with LaserMe, we target open pores and renew the skin at a cellular level — not just the surface.
The result? Smoother, more refined skin that looks flawless in person and photographs beautifully.
Suitable for all skin types and completed in under an hour.
If you’re tired of products that promise results but never deliver, it’s time to experience medical-grade skincare.
👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1RS7vFUgb-5Oez-TReJqMFJ4FnljxKjtQ/view?usp=drive_link,14,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Script 14: The Pore Perfector — PHA Touch + LaserMe for large pores
reel30,,,Reel,,https://drive.google.com/drive/folders/1SBFu1nwLd4mJ-jfg50KByW0fKtayZ2Mz?usp=sharing,30,Not started,Sent for editing,,Script 30: The Restart Promise — Restart Medical values and transformation promise
reel9,,"What if you could enhance your size with zero downtime?

At Restart Medical, our non-surgical male enhancement treatments are designed to fit into your life — not disrupt it.

Walk in, get treated under local anesthesia, and walk out the same day.

Most men return to work immediately and resume intimate activity within 48 hours.

No surgery.
No painful recovery.
No weeks off your routine.

Just safe, effective results — without the risk or commitment of going under the knife.

Ready to make a change the smarter way?
👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1t5IAqLMqU_ZIO52t-XTVDBnpuG06rkuA/view?usp=drive_link,9,Not started,Edited,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 9: The Recovery Reality — zero downtime male enhancement vs surgery
reel29,,,Reel,,https://drive.google.com/drive/folders/1zkxR46quhRzokGuxN3atZpLFF4IGvynk?usp=sharing,29,Not started,Sent for editing,,Script 29: The First Step — low-pressure consultation and planning
reel3,,"Struggling to maintain an erection is not “just in your head”.
It is common. And it is treatable.

Our ED protocol at Restart Medical combines PRP and targeted treatments to improve blood flow, sensitivity, and performance – without relying on pills that don’t always work.

Painless. Under an hour. Real improvements within weeks.

Stop settling for temporary fixes.
👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1UzyzkEB8GA6gQ7rkbtjeQa9sgptDCOHK/view?usp=drive_link,3,Pending,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 3: The Performance Fix — erectile dysfunction protocol and confidence
reel23,,,Reel,,https://drive.google.com/drive/folders/1Q3vTc5Dhg8MgUanldoiylccxkLrTb0AO?usp=sharing,23,Not started,Sent for editing,,Script 23: The Privacy Promise — confidentiality and discretion at Restart Medical
reel7,,,Reel,,https://drive.google.com/file/d/1_dDFC-R-WqXra63WJYT9BDR7fCHCeuvM/view?usp=drive_link,7,Not started,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 7: The Age Solution — age-related ED and regenerative treatments
reel4,,"Tired of wondering “what if” when it comes to your size?

At Restart Medical, we use premium hyaluronic acid fillers to add natural‑looking length and girth – in around 45 minutes, with minimal discomfort and same‑day return to normal activities.

Men fly in from across Europe for a reason: results that look and feel real, with a serious boost in confidence.

Ready to stop wondering and start living?
👉 Book your confidential consultation now.",Reel,,https://drive.google.com/file/d/19eyyhQeVzWK-nCNWdHJUiPyhcQDl-xfW/view?usp=drive_link,4,Pending,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 4: The Size Solution — non-surgical size enhancement with fillers
reel5,,"Premature ejaculation affects nearly 30% of men — yet most suffer in silence.
At Restart Medical, we believe it’s time to change that.
PE isn’t something you have to live with. Our proven treatment protocol is designed to help you last longer and perform with confidence.
We combine medical-grade solutions with personalised aftercare to retrain your body’s natural response — safely and discreetly.
Men report lasting 3–5× longer within just weeks.
It’s quick. It’s private. And it works.
You deserve intimacy without anxiety.

👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1nhUWSYmymz_WJen5AnfwMudguKvVL4Jf/view?usp=drive_link,5,Not started,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 5: The Stamina Story — premature ejaculation treatment and stamina
reel26,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,,19,Not started,Sent for editing,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel6,,,Reel,,https://drive.google.com/file/d/1EMC5icmwxbVSYXbYS-gO7h7b_O2ggE3Z/view?usp=drive_link,6,Not started,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 6: The Science of Enhancement — P-Shot and PRP science for performance
reel8,,"Here’s the problem with most male enhancement — it looks fake.
And that defeats the whole purpose.
At Restart Medical, natural results are our specialty.

Whether it’s the P-Shot, dermal fillers, or a full enhancement package, every treatment is designed to look and feel completely natural.
No obvious changes.

No unnatural shapes.

Just a better, more confident version of you.
We use premium medical-grade products and refined techniques trusted across thousands of procedures — so the only thing anyone notices is your confidence.
If you want results that are undetectable but undeniable…

👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1eO7SJf6IYV0JKH6803RxXGsqJHbAG7cK/view?usp=drive_link,8,Not started,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 8: The Natural Look — natural-looking male enhancement results
reel28,,,Reel,,https://drive.google.com/drive/folders/1XYe047gskVdlkyu0RgS5zVNFil8v7bQS?usp=sharing,28,Not started,Sent for editing,,Script 28: The Maintenance Plan — aftercare and long-term maintenance
reel20,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/1fvfkJhNHBPm2zjn5YuUYXVJMmoV2q8P7/view?usp=drive_link,21,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel13,,"Think facials are just for women? Think again.
At Restart Medical, more men than ever are choosing professional skin treatments — because looking fresh isn’t about gender, it’s about confidence and success.
Our Hydro Deluxe Man treatment is designed specifically for men’s thicker skin.

It deeply cleanses, hydrates, and rejuvenates — all in one 45-minute session.
No filters. No touch-ups.

Just clearer, smoother, healthier skin.
If you want your skin to look as good as you feel, this treatment is for you.
👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1OB4YmR2105hlCT5BrrS80fWmh4QypN09/view?usp=drive_link,13,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Script 13: The Men’s Facial — Hydro Deluxe Man for men’s skin
reel18,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/1pvRgglPhgMqyYEQP0ne27f_8e60sRctb/view?usp=drive_link,18,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel16,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/16IDlPLWZAk8ml2loE5OMF2pXtRPeLtwh/view?usp=drive_link,16,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel2,,"“I spent £6,500 on surgery… and it completely failed.”

For too many men, that story is real. Painful recovery, disappointing results, and money gone.

At Restart Medical, we focus on non‑surgical male enhancement using dermal fillers and PRP.
Natural‑looking results. Walk‑in, walk‑out procedures. 24/7 aftercare from someone who’s been through it.

You deserve a better option.
👉 Book your confidential consultation now.",Reel,,https://drive.google.com/file/d/1bBCwnELD64yiJJAMrldYJGUU_a2N7Gl8/view?usp=drive_link,2,Pending,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 2: The Surgery Alternative — non-surgical male enhancement vs failed surgery
reel21,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/1RQjAfDIDfD6nAnb3W_QB4lD171-wKZ6l/view?usp=drive_link,22,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel1,,"67% of men are unhappy with their performance.
You are not alone.

At Restart Medical, we use the P‑Shot – your own platelet‑rich plasma – to naturally enhance size, sensation, and confidence.
No surgery. No fillers. No downtime.

Ready to feel like yourself again?
👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1vMsJ3_-34FxqY-DI45jEaEg5d8MRQ82T/view?usp=drive_link,1,Pending,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),Script 1: The Confidence Question — P-Shot / male enhancement confidence
reel15,,,Reel,,https://drive.google.com/drive/folders/1uQUCLvyCxROFfAa6Z_CbII2sHXYi2zkk?usp=sharing,15,Not started,Sent for editing,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Script 15: The Glow Up — Hydro Deluxe for celebrity glow
reel11,,"What if you could turn back the clock on your skin by 10 years?

Our LaserMe treatment is the gold standard in skin rejuvenation for both men and women.

LaserMe penetrates deep into your skin to:
✨ Stimulate collagen production
✨ Reduce fine lines
✨ Eliminate sun damage
✨ Give you that youthful glow

The treatment is painless, takes 30 minutes, and you'll see visible results within days.

Whether you're in your 30s preventing aging or in your 50s reversing it, LaserMe delivers.

👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1DiybArxmI4-uE0t-x0Z_2hxp6Fin9GPH/view?usp=drive_link,11,Pending,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),
reel12,,"Dark spots and hyperpigmentation making you look older than you are?

Uneven skin tone can add years to your appearance — but it's completely treatable.

Our Melanox skin treatment combined with LaserMe targets dark spots, sun damage, and hyperpigmentation at the source.

We use clinical-grade solutions that actually work, not over-the-counter products that barely make a difference.

Most clients see dramatic improvement after just one session.

Your skin should be one consistent, radiant tone.

👉 Book your confidential consultation today.",Reel,,https://drive.google.com/file/d/1ViGlqkOTnTyxY5_BPBeIhEIqzrUwAztJ/view?usp=drive_link,12,Pending,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),
,,,Reel,,,,Not started,Not recorded yet,,
reel22,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/1spJCM2eOk2tq4vclwMRnNrJUmPgNQYVB/view?usp=drive_link,23,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel24,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,,,Not started,Sent for editing,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel25,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,,,Not started,Sent for editing,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
